Name,Count_-2_pre,Count_-6_pre,Count_-6_2,Count_-2_2,Count_-6_4,Count_-6_6,Count_-2_6,Count_-6_8,Count_-2_8,Count_-2_10,Count_-6_10,Mean_-2_pre,Mean_-6_pre,Mean_-6_2,Mean_-2_2,Mean_-6_4,Mean_-6_6,Mean_-2_6,Mean_-6_8,Mean_-2_8,Mean_-2_10,Mean_-6_10,P_value_A_-2_pre_vs_-6_pre,P_value_A_-6_2_vs_-2_2,P_value_A_-6_6_vs_-2_6,P_value_A_-6_8_vs_-2_8,P_value_A_-2_10_vs_-6_10,Flag_A_-2_pre_vs_-6_pre,Flag_A_-6_2_vs_-2_2,Flag_A_-6_6_vs_-2_6,Flag_A_-6_8_vs_-2_8,Flag_A_-2_10_vs_-6_10,,,,negaive means -6 is significantly larger
Unknown 028,3,1,3,3,3,1,3,3,3,3,3,21.44817351,20.33780448,22.06297839,21.12533149,21.47736882,22.35244148,22.20288582,21.97417843,22.79259269,22.70519254,22.67145921,0.098811397,0.052217243,0.817282993,0.086319935,0.941210084,0,0,0,0,0,,,,
Unknown 029,3,1,3,3,3,1,3,3,3,3,3,21.60185363,21.60314509,23.02496295,23.02367149,22.45501777,22.46855904,22.46726758,22.68213706,22.6808456,22.44304227,22.44433373,0.998069565,0.997269955,0.998069565,0.997269955,0.997269955,0,0,0,0,0,,,,
Unknown 030,3,1,3,3,3,1,3,3,3,3,3,21.31477437,22.11274251,22.70361963,21.9056515,22.43456992,22.67453718,21.87656904,22.87579823,22.07783009,22.93405229,23.73202042,0.367556386,0.207612218,0.367556386,0.207612218,0.207612218,0,0,0,0,0,,,,
Unknown 031,3,1,3,3,3,1,3,3,3,3,3,22.94218458,23.81203191,23.99445776,23.12461042,24.68039461,23.65311435,22.78326701,25.10467199,24.23482465,23.87700129,24.74684863,0.464695455,0.304734935,0.464695455,0.304734935,0.304734935,0,0,0,0,0,,,,
Unknown 032,3,1,3,3,3,1,3,3,3,3,3,21.59140779,23.47534171,22.90138823,21.01745431,23.15796533,24.12443374,22.24049982,23.68201648,21.79808256,22.73216618,24.6161001,0.33756844,0.180488276,0.33756844,0.180488276,0.180488276,0,0,0,0,0,,,,
Unknown 033,3,1,3,3,3,1,3,3,3,3,3,23.4495318,23.22811358,23.31549939,23.53691761,23.07722059,23.67546294,23.89688116,23.10782303,23.32924125,23.6132006,23.39178238,0.895266819,0.852346548,0.895266819,0.852346548,0.852346548,0,0,0,0,0,,,,
Unknown 034,3,1,3,3,3,1,3,3,3,3,3,20.67709991,21.90427828,22.56068688,21.3335085,21.80309022,22.87349465,21.64631628,23.01983939,21.79266102,22.79612865,24.02330702,0.443551601,0.28246428,0.443551601,0.28246428,0.28246428,0,0,0,0,0,,,,
Unknown 035,3,1,3,3,3,1,3,3,3,3,3,21.5690878,19.74477245,22.10361911,21.43872054,21.84099308,22.77417627,21.96165262,22.50367448,22.13390623,22.53263914,22.48577165,0.016579379,0.190131522,0.254702823,0.458721617,0.924600733,1,0,0,0,0,,,,
Unknown 036,3,1,3,3,3,1,3,3,3,3,3,20.943592,19.32202228,23.0121863,19.97490459,21.46879357,16.6652689,20.99237251,21.58055839,22.57983996,24.00220245,21.83508517,0.5042475,0.087807539,0.085670274,0.559968141,0.214065052,0,0,0,0,0,,,,
Unknown 037,3,1,3,3,3,1,3,3,3,3,3,21.35572294,19.70915362,23.38453388,20.38535187,21.85331229,16.62406653,21.47254943,21.82753477,23.00530445,24.14968822,22.21868109,0.498787311,0.092254634,0.057096334,0.493898469,0.267232577,0,0,0,0,0,,,,
