Name,Count_-2_T0,Count_-6_6,Count_-6_4,Count_-2_4,Count_-2_10,Count_-6_8,Count_-2_8,Count_-6_T0,Count_-2_2,Count_-6_2,Count_-2_6,Count_-6_10,Mean_-2_T0,Mean_-6_6,Mean_-6_4,Mean_-2_4,Mean_-2_10,Mean_-6_8,Mean_-2_8,Mean_-6_T0,Mean_-2_2,Mean_-6_2,Mean_-2_6,Mean_-6_10,P_value_A_-2_T0_vs_-6_T0,P_value_A_-6_6_vs_-2_6,P_value_A_-6_4_vs_-2_4,P_value_A_-2_10_vs_-6_10,P_value_A_-6_8_vs_-2_8,P_value_A_-2_2_vs_-6_2,Flag_A_-2_T0_vs_-6_T0,Flag_A_-6_6_vs_-2_6,Flag_A_-6_4_vs_-2_4,Flag_A_-2_10_vs_-6_10,Flag_A_-6_8_vs_-2_8,Flag_A_-2_2_vs_-6_2
PE(36:1),3,3,3,3,3,3,3,3,3,3,3,3,21.7243352145462,21.4411833595787,21.5347862311515,21.5820674256985,21.4488001913282,21.5574325185465,21.6047137130935,21.6770540199992,21.495482271317,21.44820107677,21.4884645541258,21.4015189967812,0.787564904957669,0.7875649049577,0.787564904957669,0.787564904957669,0.787564904957669,0.787564904957684,0,0,0,0,0,0
PG(14:0/15:0),3,3,3,3,3,3,3,3,3,3,3,3,19.3132426654957,19.3845248949944,19.5652588360193,19.6972973647315,19.5218691855456,19.4619261713162,19.7251882109375,19.376468887375,19.5552242046728,19.5375837112141,19.6498952470958,19.490592425227,0.655757662723247,0.0702599335808907,0.355242697704463,0.825194815496625,0.0723684839731334,0.900827093284919,0,0,0,0,0,0
PG(14:0/16:0),3,3,3,3,3,3,3,3,3,3,3,3,19.3045178681583,19.1725128089987,19.0877349045359,19.0675449619624,18.8648955203642,19.0339732828519,19.1182874406621,19.4616876194061,19.0715320119784,19.2373154091426,18.9893581185418,19.2473554882935,0.290557832000789,0.219993990764913,0.890742805826097,0.0146768532431621,0.567479122994021,0.265552581294168,0,0,0,-1,0,0
PG(14:0/16:1)_A,3,3,3,3,3,3,3,3,3,3,3,3,20.309818139978,20.270017282885,19.7602485362316,19.3422021699698,19.3789543300578,19.1420350114531,18.9673937486871,20.3426828617889,19.3925184561324,20.1870480794405,18.9374907777999,18.9633323868568,0.938042006889074,0.00398394629038766,0.327680535970416,0.330437602412008,0.680089782119464,0.0696502121794249,0,1,0,0,0,0
PG(14:0/16:1)_B,3,3,3,3,3,3,3,3,3,3,3,3,20.4505341829676,20.8126417038969,21.0605964399362,21.1707614430403,20.6412816275568,20.5649388173262,20.9426916582811,20.603396646825,20.8517349767685,20.8036237245254,21.2156435896919,20.9063721890117,0.60468960628667,0.179404408828119,0.708715027554052,0.372022169937582,0.207188822861691,0.870245785052918,0,0,0,0,0,0
PG(15:0/16:0)_A,3,3,3,3,3,3,3,3,3,3,3,3,20.6052715075434,20.7486376535922,20.9132437933155,20.939842931917,20.704014524142,20.7880057289038,20.924853410458,20.5762559784561,20.9821669958079,20.7312184851182,21.053342147202,21.0925228606661,0.894239158593784,0.17108806275054,0.902998455285247,0.0846036427014603,0.532279667214103,0.256645769820236,0,0,0,0,0,0
PG(15:0/16:0)_B,3,3,3,3,3,3,3,3,3,3,3,3,21.8701757506169,22.1052006571204,22.1574013178436,22.1970663139566,22.2431143237498,22.1169944897573,22.3954362390038,21.9230462400269,22.122906065769,22.1700093731256,22.2634344299423,22.563340577023,0.815301331466729,0.486475173492765,0.86084998072811,0.165476040702147,0.225582001625053,0.835122186654205,0,0,0,0,0,0
PG(15:0/16:1)_A,3,3,3,3,3,3,3,3,3,3,3,3,22.0122491549307,22.2710550225951,22.5377549499511,22.5480872942584,22.2725992768688,22.2131108355179,22.4541983704191,21.9621084167065,22.4763744173792,22.6354808342099,22.5357986775715,22.5750462099037,0.795013025461761,0.178149474517154,0.957274409138162,0.126128460213557,0.218656494253189,0.412702283471758,0,0,0,0,0,0
PG(15:0/16:1)_B,3,3,3,3,3,3,3,3,3,3,3,3,21.8497390699277,22.4203177805151,22.4548935258512,22.6335446666072,22.6368565544152,22.3663830101443,22.5450341509003,21.6710879291717,22.6334792452124,22.4548281044564,22.5989689212711,22.4582054136592,0.391678939564674,0.391678939564683,0.391678939564674,0.391678939564665,0.391678939564665,0.391678939564683,0,0,0,0,0,0
PG(15:0/17:0),3,3,3,3,3,3,3,3,3,3,3,3,20.4583358330958,20.6166391118166,20.6628925732987,20.7997386538363,20.591169276608,20.5658782165684,20.6682501535513,20.3091906289773,20.6612161834559,20.4755196098804,20.748159201799,20.8088775354903,0.391438983224423,0.449029735128586,0.431107175590256,0.21486876862127,0.554746661841228,0.287982083950487,0,0,0,0,0,0
